source_relative_path,part_id,mesh_header,vertices,triangles,node,node_start,node_end,parent_node,parent_start,parent_end,local_tx,local_ty,local_tz,tx,ty,tz,bounds,repair_rule,repair_reason,texture_source,assessment
"datan\common\arm10_broz.gx","nova_fire_arm10_broz","0x145","140","160","top","0x7F","0x360A","C:\Program Files\Nova1492AR\data\topmine.GX","0x0","0x3615","0","0","0","0","0","0","-0.591315;-0.013913;-0.696279|0.587881;0.620794;0.294147","","","C:\Program Files (x86)\Nova1492\datan\common\topmine.TGA","pass"
"datan\common\arm10_broz.gx","nova_fire_arm10_broz","0x2CFF","8","8","light02","0x2998","0x2FC6","top","0x7F","0x360A","0.43195","0.475271","-0.457041","0.43195","0.475271","-0.457041","0.342544;0.475271;-0.612299|0.521357;0.597584;-0.301784","","","C:\Program Files (x86)\Nova1492\datan\common\topmine.TGA","pass"
"datan\common\arm10_broz.gx","nova_fire_arm10_broz","0x3338","8","8","light03","0x2FD1","0x35FF","top","0x7F","0x360A","-0.435972","0.475271","-0.457041","-0.435972","0.475271","-0.457041","-0.525378;0.475271;-0.612299|-0.346565;0.597584;-0.301784","","","C:\Program Files (x86)\Nova1492\datan\common\topmine.TGA","pass"
"datan\common\arm11_poms.gx","nova_fire_arm11_poms","0x147","69","89","top","0x80","0x1F0E","C:\Program Files\Nova1492AR\data\toppwrup.GX","0x0","0x1F19","0","0","0","0","0","0","-0.210424;-0;-0.351312|0.210481;0.280153;0.497835","","","C:\Program Files (x86)\Nova1492\datan\common\toppwrup.TGA","pass"
"datan\common\arm11_poms.gx","nova_fire_arm11_poms","0x1DDC","4","2","Box17","0x1436","0x1F03","top","0x80","0x1F0E","0.001686","0.159293","0.214101","0.001686","0.159293","0.214101","-0.094031;0.127795;0.207505|-0.033505;0.178733;0.233238","","","C:\Program Files (x86)\Nova1492\datan\common\toppwrup.TGA","pass"
"datan\common\arm12_onms.gx","nova_fire_arm12_onms","0x145","74","82","top","0x7F","0x2A67","C:\Program Files\Nova1492AR\data\tophpup.GX","0x0","0x2A72","0","0","0","0","0","0","-0.208035;0.000003;-0.371253|0.208288;0.279253;0.489877","","","C:\Program Files (x86)\Nova1492\datan\common\tophpup.TGA","pass"
"datan\common\arm12_onms.gx","nova_fire_arm12_onms","0x1787","6","4","Box30224795","0x145C","0x1912","top","0x7F","0x2A67","0.002056","0.176475","0.296104","0.002056","0.176475","0.296104","-0.043113;0.201277;0.155762|0.047225;0.2295;0.250585","","","C:\Program Files (x86)\Nova1492\datan\common\tophpup.TGA","pass"
"datan\common\arm12_onms.gx","nova_fire_arm12_onms","0x1B83","7","7","Mesh01","0x191D","0x1D64","top","0x7F","0x2A67","0.105838","0.158067","0.031773","0.105838","0.158067","0.031773","0.070546;0.126044;-0.073404|0.141129;0.19009;0.136951","","","C:\Program Files (x86)\Nova1492\datan\common\tophpup.TGA","pass"
"datan\common\arm12_onms.gx","nova_fire_arm12_onms","0x1FD5","7","7","Mesh04","0x1D6F","0x21B6","top","0x7F","0x2A67","-0.104663","0.158067","0.031773","-0.104663","0.158067","0.031773","-0.139955;0.126044;-0.073404|-0.069371;0.19009;0.136951","","","C:\Program Files (x86)\Nova1492\datan\common\tophpup.TGA","pass"
"datan\common\arm12_onms.gx","nova_fire_arm12_onms","0x2426","4","2","Box22","0x21C1","0x25A1","top","0x7F","0x2A67","-0.002598","0.178482","0.297211","-0.002598","0.178482","0.297211","-0.089164;0.143052;0.221233|0.083968;0.213911;0.373189","","","C:\Program Files (x86)\Nova1492\datan\common\tophpup.TGA","pass"
"datan\common\arm12_onms.gx","nova_fire_arm12_onms","0x28D1","6","4","Box20","0x25AC","0x2A5C","top","0x7F","0x2A67","0.002056","0.176475","0.296104","0.002056","0.176475","0.296104","-0.043113;0.201277;0.155762|0.047225;0.2295;0.250585","","","C:\Program Files (x86)\Nova1492\datan\common\tophpup.TGA","pass"
"datan\common\arm13_prs.gx","nova_fire_arm13_prs","0x141","120","108","top","0x7D","0x45A3","C:\Program Files\Nova1492AR\data\top11.GX","0x0","0x45AE","0","0","0","0","0","0","-0.193747;-0.0053;-0.656248|0.193759;0.432738;0.473895","","","C:\Program Files (x86)\Nova1492\datan\common\top11.TGA","pass"
"datan\common\arm13_prs.gx","nova_fire_arm13_prs","0x224F","132","98","55","0x1DFC","0x3F70","top","0x7D","0x45A3","-0.000009","0.093429","1.232045","-0.000009","0.093429","1.232045","-0.166979;-0.10542;0.456973|0.166841;0.280041;1.435377","","","C:\Program Files (x86)\Nova1492\datan\common\top11.TGA","pass"
"datan\common\arm13_prs.gx","nova_fire_arm13_prs","0x41E1","20","10","muzzle","0x3F7B","0x4598","top","0x7D","0x45A3","0.000731","0.096128","1.660897","0.000731","0.096128","1.660897","0.000677;0.096074;1.660864|0.000784;0.096182;1.660975","","","C:\Program Files (x86)\Nova1492\datan\common\top11.TGA","pass"
"datan\common\arm15_hdkn.gx","nova_fire_arm15_hdkn","0x141","130","126","top","0x7D","0xE602","C:\Program Files\Nova1492AR\data\top13.GX","0x0","0xE60D","-0","-0.001038","-0","-0","-0.001038","-0","-0.502715;-0.047368;-0.838707|0.502727;0.651486;0.294622","","","C:\Program Files (x86)\Nova1492\datan\common\top13.TGA","pass"
"datan\common\arm15_hdkn.gx","nova_fire_arm15_hdkn","0x3B77","62","56","Box180","0x21A0","0x74B4","top","0x7D","0xE602","-0.295464","0.424581","-0.044013","-0.295464","0.423543","-0.044013","-0.526362;0.019831;-0.251221|-0.293929;0.684242;0.195292","","","C:\Program Files (x86)\Nova1492\datan\common\top13.TGA","pass"
"datan\common\arm15_hdkn.gx","nova_fire_arm15_hdkn","0x64B5","45","30","Box207","0x4B5E","0x74A9","Box180","0x21A0","0x74B4","-0.151938","-0.351089","0.01416","-0.4474","0.075328","-0.091034","-0.70803;-0.151827;-0.205052|-0.357771;0.192056;0.716413","","","C:\Program Files (x86)\Nova1492\datan\common\top13.TGA","pass"
"datan\common\arm15_hdkn.gx","nova_fire_arm15_hdkn","0x725B","8","4","muzzle1","0x6F34","0x749E","Box207","0x4B5E","0x74A9","-0.061673","-0.340914","-0.003778","-0.513949","-0.005509","0.239234","-0.518989;-0.011634;0.235835|-0.508475;-0.003953;0.25707","","","C:\Program Files (x86)\Nova1492\datan\common\top13.TGA","pass"
"datan\common\arm15_hdkn.gx","nova_fire_arm15_hdkn","0x8D95","44","34","Box08","0x74BF","0xC271","top","0x7D","0xE602","0.290826","0.424583","-0.044013","0.290826","0.423545","-0.044013","0.293939;0.022927;-0.207362|0.526372;0.675706;0.128614","","","C:\Program Files (x86)\Nova1492\datan\common\top13.TGA","pass"
"datan\common\arm15_hdkn.gx","nova_fire_arm15_hdkn","0xB233","45","30","Box206","0x989C","0xC266","Box08","0x74BF","0xC271","0.179553","-0.345996","0.01416","0.47038","0.080347","-0.09015","0.377877;-0.132712;-0.202629|0.736295;0.216749;0.720815","","","C:\Program Files (x86)\Nova1492\datan\common\top13.TGA","pass"
"datan\common\arm15_hdkn.gx","nova_fire_arm15_hdkn","0xC018","8","4","muzzle","0xBCB2","0xC25B","Box206","0x989C","0xC266","-0.024182","-0.339527","0.008681","0.452443","-0.004605","0.239092","0.446586;-0.010696;0.235599|0.457539;-0.003058;0.257015","","","C:\Program Files (x86)\Nova1492\datan\common\top13.TGA","pass"
"datan\common\arm15_hdkn.gx","nova_fire_arm15_hdkn","0xDD98","31","37","Cylinder03","0xC27C","0xE5F7","top","0x7D","0xE602","0.000005","0.520134","-0.016154","0.000005","0.519096","-0.016154","-0.139202;0.528446;-0.180586|0.139212;0.861277;0.148277","","","C:\Program Files (x86)\Nova1492\datan\common\top13.TGA","pass"
"datan\common\arm17_prrs.gx","nova_fire_arm17_prrs","0x141","122","140","top","0x7D","0x54E9","C:\Program Files\Nova1492AR\data\top15.GX","0x0","0x54F4","0","0","0","0","0","0","-0.57656;-0.000011;-0.362349|0.576559;0.530307;0.30598","","","C:\Program Files (x86)\Nova1492\datan\common\top15.TGA","pass"
"datan\common\arm17_prrs.gx","nova_fire_arm17_prrs","0x2696","47","51","Box417","0x2280","0x3BAA","top","0x7D","0x54E9","-0.426889","0.628057","-0.025094","-0.426889","0.628057","-0.025094","-0.666198;0.467603;-0.455553|-0.187593;0.825552;0.353944","","","C:\Program Files (x86)\Nova1492\datan\common\top15.TGA","pass"
"datan\common\arm17_prrs.gx","nova_fire_arm17_prrs","0x38C4","12","12","muzzle1","0x349D","0x3B9F","Box417","0x2280","0x3BAA","-0.000008","-0.012369","0.244943","-0.426897","0.615688","0.219849","-0.429824;0.612762;0.218914|-0.423971;0.618614;0.224074","","","C:\Program Files (x86)\Nova1492\datan\common\top15.TGA","pass"
"datan\common\arm17_prrs.gx","nova_fire_arm17_prrs","0x3FCB","47","51","Box427","0x3BB5","0x54DE","top","0x7D","0x54E9","0.426905","0.628057","-0.025094","0.426905","0.628057","-0.025094","0.187596;0.467603;-0.455553|0.666201;0.825552;0.353944","","","C:\Program Files (x86)\Nova1492\datan\common\top15.TGA","pass"
"datan\common\arm17_prrs.gx","nova_fire_arm17_prrs","0x51F8","12","12","muzzle","0x4DD2","0x54D3","Box427","0x3BB5","0x54DE","-0.000008","-0.012369","0.246268","0.426897","0.615688","0.221174","0.423951;0.612742;0.220239|0.429843;0.618634;0.225383","","","C:\Program Files (x86)\Nova1492\datan\common\top15.TGA","pass"
"datan\common\arm18_knst.gx","nova_fire_arm18_knst","0x141","108","100","top","0x7D","0x5D33","C:\Program Files\Nova1492AR\data\top16.GX","0x0","0x5D3E","0","0","0","0","0","0","-0.382358;-0.004664;-0.37297|0.380771;0.476501;0.486417","","","C:\Program Files (x86)\Nova1492\datan\common\top16.TGA","pass"
"datan\common\arm18_knst.gx","nova_fire_arm18_knst","0x203E","8","8","Box352","0x1C28","0x3C7F","top","0x7D","0x5D33","-0.423989","0.065659","-0.056242","-0.423989","0.065659","-0.056242","-0.478934;-0.000536;-0.1965|-0.369043;0.413045;0.043087","","","C:\Program Files (x86)\Nova1492\datan\common\top16.TGA","pass"
"datan\common\arm18_knst.gx","nova_fire_arm18_knst","0x2758","48","45","NGon120","0x2341","0x3C74","Box352","0x1C28","0x3C7F","-0.021438","0.423328","0.141067","-0.445427","0.488986","0.084825","-0.648307;0.303664;-0.31475|-0.189239;0.767404;0.53019","","","C:\Program Files (x86)\Nova1492\datan\common\top16.TGA","pass"
"datan\common\arm18_knst.gx","nova_fire_arm18_knst","0x398E","12","12","muzzle1","0x3567","0x3C69","NGon120","0x2341","0x3C74","0.081077","0.103015","0.159543","-0.36435","0.592002","0.244368","-0.365773;0.590579;0.244054|-0.362928;0.593424;0.245809","","","C:\Program Files (x86)\Nova1492\datan\common\top16.TGA","pass"
