part_id,display_name,source_relative_path,audit_verdict,audit_flags,status,vertices,triangles,catalog_vertices,catalog_triangles,mesh_blocks,kept_block_count,dropped_blocks,large_dropped_block_count,has_root_marker,repair_rule,gx_pose_block_count,gx_pose_mode,gx_pose_applied,bounds,width,height,depth,center_x,center_y,center_z,obj_path,error
"nova_fire_arm10_broz","블레이즈","datan\common\arm10_broz.gx","pass","","audited","156","176","156","176","3","3","","0","true","","2","detected","false","-0.591315;-0.013913;-0.696279|0.587881;0.620794;0.294147","1.179196","0.634707","0.990426","-0.001717","0.303441","-0.201066","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm10_broz_8151f977.obj",""
"nova_fire_arm11_poms","파워맥스","datan\common\arm11_poms.gx","pass","","audited","73","91","73","91","2","2","","0","true","","1","detected","false","-0.210424;-0;-0.351312|0.210481;0.280153;0.497835","0.420905","0.280153","0.849147","0.000028","0.140077","0.073262","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm11_poms_3a4be2f0.obj",""
"nova_fire_arm12_onms","에너맥스","datan\common\arm12_onms.gx","pass","","audited","104","106","104","106","6","6","","0","true","","5","detected","false","-0.208035;0.000003;-0.371253|0.208288;0.279253;0.489877","0.416323","0.27925","0.86113","0.000126","0.139628","0.059312","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm12_onms_efa25324.obj",""
"nova_fire_arm13_prs","팔랑스","datan\common\arm13_prs.gx","pass","","audited","272","216","272","216","3","3","","0","true","","2","detected","false","-0.193747;-0.10542;-0.656248|0.193759;0.432738;1.660975","0.387506","0.538158","2.317223","0.000006","0.163659","0.502364","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm13_prs_506c6fbf.obj",""
"nova_fire_arm15_hdkn","핸드케넌","datan\common\arm15_hdkn.gx","pass","","audited","373","321","373","321","8","8","","0","true","","7","detected","false","-0.70803;-0.151827;-0.838707|0.736295;0.861277;0.720815","1.444325","1.013104","1.559522","0.014133","0.354725","-0.058946","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm15_hdkn_75ab9b21.obj",""
"nova_fire_arm17_prrs","프롤릭스","datan\common\arm17_prrs.gx","pass","","audited","240","266","240","266","5","5","","0","true","","4","detected","false","-0.666198;-0.000011;-0.455553|0.666201;0.825552;0.353944","1.332399","0.825563","0.809497","0.000001","0.412771","-0.050805","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm17_prrs_13e8b933.obj",""
"nova_fire_arm18_knst","캐니스터","datan\common\arm18_knst.gx","pass","","audited","244","232","244","232","7","7","","0","true","","6","detected","false","-0.648307;-0.004664;-0.37297|0.646646;0.7677;0.53019","1.294953","0.772364","0.90316","-0.000831","0.381518","0.07861","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm18_knst_c1fdf073.obj",""
"nova_fire_arm19_roz","레이저","datan\common\arm19_roz.gx","pass","","audited","246","260","246","260","7","7","","0","true","","6","detected","false","-0.611489;-0.106165;-0.342684|0.609079;0.749351;0.359927","1.220568","0.855516","0.702611","-0.001205","0.321593","0.008621","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm19_roz_611f470e.obj",""
"nova_fire_arm1_sz","시즈","datan\common\arm1_sz.gx","pass","","audited","123","131","123","131","2","2","","0","true","","2","detected","false","-0.272744;-0.025977;-0.374875|0.278115;0.308452;1.568361","0.550859","0.334429","1.943236","0.002686","0.141238","0.596743","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm1_sz_5fce3a7e.obj",""
"nova_fire_arm20_rkto","로켓티어","datan\common\arm20_rkto.gx","pass","","audited","264","328","264","328","5","5","","0","true","","4","detected","false","-0.867133;-0.046267;-0.349949|0.861386;1.009522;0.606124","1.728519","1.055789","0.956073","-0.002874","0.481628","0.128088","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm20_rkto_aae07f0f.obj",""
