part_id,display_name,source_relative_path,audit_verdict,audit_flags,review_result,notes
"nova_fire_arm10_broz","블레이즈","datan\common\arm10_broz.gx","pass","","",""
"nova_fire_arm11_poms","파워맥스","datan\common\arm11_poms.gx","pass","","",""
"nova_fire_arm12_onms","에너맥스","datan\common\arm12_onms.gx","pass","","",""
"nova_fire_arm13_prs","팔랑스","datan\common\arm13_prs.gx","pass","","",""
"nova_fire_arm15_hdkn","핸드케넌","datan\common\arm15_hdkn.gx","pass","","",""
"nova_fire_arm17_prrs","프롤릭스","datan\common\arm17_prrs.gx","pass","","",""
"nova_fire_arm18_knst","캐니스터","datan\common\arm18_knst.gx","pass","","",""
"nova_fire_arm19_roz","레이저","datan\common\arm19_roz.gx","pass","","",""
"nova_fire_arm1_sz","시즈","datan\common\arm1_sz.gx","pass","","",""
"nova_fire_arm20_rkto","로켓티어","datan\common\arm20_rkto.gx","pass","","",""
"nova_fire_arm21_nmsz","네메시즈","datan\common\arm21_nmsz.gx","pass","","",""
"nova_fire_arm22_bsrsk","바실리스크","datan\common\arm22_bsrsk.gx","pass","","",""
"nova_fire_arm23_rkog","리코일건","datan\common\arm23_rkog.gx","pass","","",""
"nova_fire_arm24_bzk","바주카","datan\common\arm24_bzk.gx","review","depth_outlier;center_z_outlier","",""
"nova_fire_arm25_skoob","쇼크웨이브","datan\common\arm25_skoob.gx","pass","","",""
"nova_fire_arm26_srmd","사라만다","datan\common\arm26_srmd.gx","pass","","",""
"nova_fire_arm27_stst","슈팅스타","datan\common\arm27_stst.gx","pass","","",""
"nova_fire_arm28_ozs","이지스","datan\common\arm28_ozs.gx","pass","","",""
"nova_fire_arm29_sdbt","선더볼트","datan\common\arm29_sdbt.gx","pass","","",""
"nova_fire_arm30_sm","서먼","datan\common\arm30_sm.gx","pass","","",""
"nova_fire_arm31_skokr","스카이킬러","datan\common\arm31_skokr.gx","pass","","",""
"nova_fire_arm32_sppoo","스핏파이어","datan\common\arm32_sppoo.gx","review","center_x_outlier","",""
"nova_fire_arm33_hkoo","호크아이","datan\common\arm33_hkoo.gx","pass","","",""
"nova_fire_arm34_skpo","스콜피오","datan\common\arm34_skpo.gx","pass","","",""
"nova_fire_arm35_ons","오닉스","datan\common\arm35_ons.gx","pass","","",""
"nova_fire_arm36_bnso","버닝소울","datan\common\arm36_bnso.gx","pass","","",""
"nova_fire_arm37_sts","스틱스","datan\common\arm37_sts.gx","pass","","",""
"nova_fire_arm39_hmsk","해머쇼크","datan\common\arm39_hmsk.gx","pass","","",""
"nova_fire_arm41_onoo","아누아이","datan\common\arm41_onoo.gx","pass","","",""
"nova_fire_arm43_przso","프리징소울","datan\common\arm43_przso.gx","pass","","",""
"nova_fire_arm46_dbkr","데빌클로","datan\common\arm46_dbkr.gx","pass","","",""
"nova_fire_arm4_bk","발칸","datan\common\arm4_bk.gx","pass","","",""
"nova_fire_arm55_bbs","베베세","datan\common\arm55_bbs.gx","pass","","",""
"nova_fire_arm8_do","듀얼건","datan\common\arm8_do.gx","pass","","",""
"nova_fire_g_arm56_prrs","프롤릭스G","datan\common\g_arm56_prrs.gx","pass","","",""
"nova_fire_g_arm57_prs","팔랑스G","datan\common\g_arm57_prs.gx","pass","","",""
"nova_fire_g_arm58_dbkr","데빌클로G","datan\common\g_arm58_dbkr.gx","pass","","",""
"nova_fire_n_arm59_dmsz","데미시즈N","datan\common\n_arm59_dmsz.gx","pass","","",""
"nova_fire_n_arm60_mgbr","메가배럴N","datan\common\n_arm60_mgbr.gx","pass","","",""
"nova_fire_n_arm61_bsrsk","바실리스크N","datan\common\n_arm61_bsrsk.gx","pass","","",""
"nova_fire_n_arm62_knst","캐니스터N","datan\common\n_arm62_knst.gx","pass","","",""
"nova_fire_n_arm63_krst","클러스터N","datan\common\n_arm63_krst.gx","pass","","",""
"nova_fire_n_arm64_hdkn","핸드케넌N","datan\common\n_arm64_hdkn.gx","pass","","",""
"nova_fire_n_arm65_bbs","베베세N","datan\common\n_arm65_bbs.gx","pass","","",""
"nova_fire_n_arm66_skpo","스콜피오N","datan\common\n_arm66_skpo.gx","pass","","",""
"nova_fire_n_arm67_sts","스틱스N","datan\common\n_arm67_sts.gx","pass","","",""
"nova_fire_n_arm68_roz","레이저N","datan\common\n_arm68_roz.gx","pass","","",""
"nova_fire_n_arm69_rkog","리코일건N","datan\common\n_arm69_rkog.gx","pass","","",""
"nova_fire_n_arm70_hmsk","해머쇼크N","datan\common\n_arm70_hmsk.gx","pass","","",""
"nova_fire_s_arm50_hmsk","해머쇼크S","datan\common\s_arm50_hmsk.gx","pass","","",""
"nova_fire_s_arm52_bzk","바주카S","datan\common\s_arm52_bzk.gx","review","depth_outlier;center_z_outlier","",""
"nova_fire_s_arm53_ons","오닉스S","datan\common\s_arm53_ons.gx","pass","","",""
"nova_fire_s_arm54_onoo","아누아이S","datan\common\s_arm54_onoo.gx","pass","","",""
