"category","source_relative_path","model_path","vertices","triangles","texture_output","status"
"Characters/MobAndBoss","datan\common\gmb1.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb1_a9deaa3d.obj","758","677","datan_common_gmb1_a9deaa3d.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb10.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb10_5fe09e89.obj","241","187","datan_common_gmb10_5fe09e89.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb11.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb11_7ecfa11e.obj","512","407","datan_common_gmb11_7ecfa11e.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb12.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb12_3cf77de9.obj","378","362","datan_common_gmb12_3cf77de9.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb13.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb13_5285430a.obj","405","374","datan_common_gmb13_5285430a.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb2.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb2_a23af8e5.obj","464","416","datan_common_gmb2_a23af8e5.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb3.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb3_099975c6.obj","290","314","datan_common_gmb3_099975c6.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb4.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb4_77bd715e.obj","300","311","datan_common_gmb4_77bd715e.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb5.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb5_a4c78437.obj","454","494","datan_common_gmb5_a4c78437.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb6.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb6_20a12875.obj","218","238","datan_common_gmb6_20a12875.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb7.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb7_eeaa6655.obj","338","434","datan_common_gmb7_eeaa6655.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb8.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb8_cbba28d3.obj","277","256","datan_common_gmb8_cbba28d3.TGA","organized"
"Characters/MobAndBoss","datan\common\gmb9.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmb9_682b72f9.obj","438","510","datan_common_gmb9_682b72f9.TGA","organized"
"Characters/MobAndBoss","datan\common\gmc11.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmc11_ff1201d9.obj","512","407","datan_common_gmc11_ff1201d9.TGA","organized"
"Characters/MobAndBoss","datan\common\gmc13.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_gmc13_a2997565.obj","405","374","datan_common_gmc13_a2997565.TGA","organized"
"Characters/MobAndBoss","datan\common\king1-body.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_king1-body_0e0b9e4c.obj","132","122","datan_common_king1-body_0e0b9e4c.TGA","organized"
"Characters/MobAndBoss","datan\common\king1-legs.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_king1-legs_614d4b0e.obj","610","512","datan_common_king1-legs_614d4b0e.TGA","organized"
"Characters/MobAndBoss","datan\common\king2-body.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_king2-body_513c40e5.obj","733","818","","organized"
"Characters/MobAndBoss","datan\common\king2-legs.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_king2-legs_f3ec4ba4.obj","724","716","","organized"
"Characters/MobAndBoss","datan\common\king-body.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_king-body_cf38d4b4.obj","523","448","","organized"
"Characters/MobAndBoss","datan\common\king-legs.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_king-legs_f234596d.obj","561","445","","organized"
"Characters/MobAndBoss","datan\common\mb1.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mb1_ccd42563.obj","819","667","datan_common_mb1_ccd42563.TGA","organized"
"Characters/MobAndBoss","datan\common\mb1badak1.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mb1badak1_ba914553.obj","4","2","","organized"
"Characters/MobAndBoss","datan\common\mb2.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mb2_940e6a4b.obj","501","492","datan_common_mb2_940e6a4b.TGA","organized"
"Characters/MobAndBoss","datan\common\mb2badak1.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mb2badak1_e9dd24db.obj","4","2","","organized"
"Characters/MobAndBoss","datan\common\mbnew.gx","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mbnew_b578a223.obj","460","452","datan_common_mbnew_b578a223.TGA","organized"
"Characters/MobAndBoss","datan\common\mob_ef01.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob_ef01_0e179c8f.obj","24","12","datan_common_mob_ef01_0e179c8f.bmp","organized"
"Characters/MobAndBoss","datan\common\mob_ef02.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob_ef02_bc111583.obj","68","58","","organized"
"Characters/MobAndBoss","datan\common\mob_ef03.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob_ef03_3751b568.obj","16","8","","organized"
"Characters/MobAndBoss","datan\common\mob_ef04.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob_ef04_e28fbf1d.obj","28","14","datan_common_mob_ef04_e28fbf1d.bmp","organized"
"Characters/MobAndBoss","datan\common\mob_ef05.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob_ef05_e82e9232.obj","88","44","","organized"
"Characters/MobAndBoss","datan\common\mob_ef05-2.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob_ef05-2_71cdc8a0.obj","36","18","","organized"
"Characters/MobAndBoss","datan\common\mob_ef06.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob_ef06_a5f31e8e.obj","16","8","","organized"
"Characters/MobAndBoss","datan\common\mob03dam.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob03dam_7c810f69.obj","24","24","","organized"
"Characters/MobAndBoss","datan\common\mob04_damage.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob04_damage_9699012f.obj","24","24","","organized"
"Characters/MobAndBoss","datan\common\mob05dam.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob05dam_fee8d565.obj","24","24","","organized"
"Characters/MobAndBoss","datan\common\mob06_eff.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob06_eff_333e30ea.obj","24","22","","organized"
"Characters/MobAndBoss","datan\common\mob10-body.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob10-body_9b7cdc05.obj","144","114","","organized"
"Characters/MobAndBoss","datan\common\mob10-legs.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob10-legs_9a42953b.obj","450","292","datan_common_mob10-legs_9a42953b.TGA","organized"
"Characters/MobAndBoss","datan\common\mob11-body.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob11-body_3f49810d.obj","230","208","","organized"
"Characters/MobAndBoss","datan\common\mob11-legs.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob11-legs_f0120930.obj","668","543","","organized"
"Characters/MobAndBoss","datan\common\mob12-body.GX","Assets/Art/Nova1492/GXConverted/Models/Characters/MobAndBoss/datan_common_mob12-body_63533082.obj","280","232","","organized"
