source_relative_path,part_id,mesh_header,vertices,triangles,node,node_start,node_end,parent_node,parent_start,parent_end,local_tx,local_ty,local_tz,tx,ty,tz,bounds,repair_rule,repair_reason,texture_source,assessment
"datan\common\body10_skdr.gx","nova_frame_body10_skdr","0x1854","72","73","body","0x7E","0x3FA9","C:\Program Files\Nova1492AR\data\body10.gx","0x0","0x3FB4","0","0","0","0","0","0","-0.197956;-0.037573;-0.439834|0.197956;0.482325;0.592034","","","C:\Program Files (x86)\Nova1492\datan\common\body10.TGA","pass"
"datan\common\body10_skdr.gx","nova_frame_body10_skdr","0x317F","18","21","Sphere04","0x2BE5","0x35BC","body","0x7E","0x3FA9","-0.113665","0.097588","0.349714","-0.113665","0.097588","0.349714","-0.168385;0.027311;0.349415|-0.08331;0.167865;0.571182","","","C:\Program Files (x86)\Nova1492\datan\common\body10.TGA","pass"
"datan\common\body10_skdr.gx","nova_frame_body10_skdr","0x3B61","18","21","Sphere05","0x35C7","0x3F9E","body","0x7E","0x3FA9","0.113665","0.097588","0.349714","0.113665","0.097588","0.349714","0.08331;0.027311;0.349415|0.168385;0.167865;0.571182","","","C:\Program Files (x86)\Nova1492\datan\common\body10.TGA","pass"
"datan\common\body11_kn.gx","nova_frame_body11_kn","0x1A54","284","200","body","0x7E","0x5B07","C:\Program Files\Nova1492AR\data\body11.gx","0x0","0x5B12","0","0","0","0","0","0","-0.471598;-0.000188;-0.800507|0.471598;0.578365;0.729647","","","C:\Program Files (x86)\Nova1492\datan\common\body11.TGA","pass"
"datan\common\body12_kt.gx","nova_frame_body12_kt","0x1454","148","92","body","0x7E","0x5996","C:\Program Files\Nova1492AR\data\body12.gx","0x0","0x59A1","0","0","0","0","0","0","-0.506475;-0.239667;-0.904469|0.503862;0.260645;0.713089","","","C:\Program Files (x86)\Nova1492\datan\common\body12.TGA","pass"
"datan\common\body12_kt.gx","nova_frame_body12_kt","0x3926","145","112","NGon03","0x354F","0x598B","body","0x7E","0x5996","-0.001192","0.240828","-0.465578","-0.001192","0.240828","-0.465578","-0.360794;-0.011828;-1.209826|0.35641;0.470612;-0.19627","","","C:\Program Files (x86)\Nova1492\datan\common\body12.TGA","pass"
"datan\common\body13_scro.gx","nova_frame_body13_scro","0x1654","126","120","body","0x7E","0x38DF","C:\Program Files\Nova1492AR\data\body31.gx","0x0","0x38EA","0","0","0","0","0","0","-0.575133;-0.206764;-0.997254|0.57512;0.668137;0.696424","","","C:\Program Files (x86)\Nova1492\datan\common\body31.TGA","pass"
"datan\common\body14_trb.gx","nova_frame_body14_trb","0x17D4","156","153","body","0x7E","0x41CD","C:\Program Files\Nova1492AR\data\body32.gx","0x0","0x41D8","0","0","0","0","0","0","-0.686607;-0.10845;-1.02339|0.685572;0.567182;1.033791","","","C:\Program Files (x86)\Nova1492\datan\common\body32.TGA","pass"
"datan\common\body15_znr.gx","nova_frame_body15_znr","0xE54","188","180","body","0x7E","0x4727","C:\Program Files\Nova1492AR\data\body33.gx","0x0","0x4732","0","0","0","0","0","0","-0.410133;-0.060943;-1.123939|0.410133;0.582455;0.77923","","","C:\Program Files (x86)\Nova1492\datan\common\body33.TGA","pass"
"datan\common\body15_znr.gx","nova_frame_body15_znr","0x41B1","4","2","________02","0x3F47","0x432C","body","0x7E","0x4727","-0.391465","0.115456","-0.847557","-0.391465","0.115456","-0.847557","-0.391465;-0.003717;-1.023193|-0.391465;0.234628;-0.67192","","","C:\Program Files (x86)\Nova1492\datan\common\body33.TGA","pass"
"datan\common\body15_znr.gx","nova_frame_body15_znr","0x45A1","4","2","________01","0x4337","0x471C","body","0x7E","0x4727","0.387841","0.115456","-0.847557","0.387841","0.115456","-0.847557","0.387841;-0.003717;-1.023193|0.387841;0.234628;-0.67192","","","C:\Program Files (x86)\Nova1492\datan\common\body33.TGA","pass"
"datan\common\body16_kmdo.gx","nova_frame_body16_kmdo","0xA94","277","180","body","0x7E","0x4803","C:\Program Files\Nova1492AR\data\body34.gx","0x0","0x480E","0","0","0","0","0","0","-0.496532;0.000023;-1.157569|0.498965;0.670992;0.742981","","","C:\Program Files (x86)\Nova1492\datan\common\body34.TGA","pass"
"datan\common\body17_rzmt.gx","nova_frame_body17_rzmt","0x1614","118","108","body","0x7E","0x2FBF","C:\Program Files\Nova1492AR\data\body35.gx","0x0","0x2FCA","0","0","0","0","0","0","-0.14339;-0.023442;-0.355082|0.14339;0.471127;0.481214","","","C:\Program Files (x86)\Nova1492\datan\common\body35.TGA","pass"
"datan\common\body18_brgod.gx","nova_frame_body18_brgod","0x1514","120","56","body","0x7E","0x2DCC","C:\Program Files\Nova1492AR\data\body36.gx","0x0","0x3377","0","0","0","0","0","0","-0.118918;-0.038752;-0.540945|0.119002;0.476214;0.48785","","","C:\Program Files (x86)\Nova1492\datan\common\body36.TGA","pass"
"datan\common\body18_brgod.gx","nova_frame_body18_brgod","0x2DE4","24","12","C:\Program Files\Nova1492AR\data\body36.gx","0x0","0x3377","","","","0","0","0","0","0","0","-0.085526;0.185103;-0.063119|0.08561;0.502958;0.480503","","","C:\Program Files (x86)\Nova1492\datan\common\body36.TGA","pass"
"datan\common\body19_spd.gx","nova_frame_body19_spd","0xE94","109","87","body","0x7E","0x4E01","C:\Program Files\Nova1492AR\data\body41.gx","0x0","0x4E0C","0","0","0","0","0","0","-0.416012;-0.20644;-0.90309|0.435745;0.159648;0.572183","","","C:\Program Files (x86)\Nova1492\datan\common\body41.TGA","pass"
"datan\common\body19_spd.gx","nova_frame_body19_spd","0x2C07","132","136","Box07","0x28B1","0x4DF6","body","0x7E","0x4E01","0.014398","0.143589","-0.15042","0.014398","0.143589","-0.15042","-0.286643;0.145501;-1.05874|0.314776;0.518056;-0.081564","","","C:\Program Files (x86)\Nova1492\datan\common\body41.TGA","pass"
"datan\common\body1_sz.gx","nova_frame_body1_sz","0x852","192","200","body","0x7D","0x3A96","C:\Program Files\Nova1492AR\data\body1.gx","0x0","0x6231","0","0","0","0","0","0","-0.566054;-0.0413;-0.87684|0.574656;0.408367;0.36007","","","C:\Program Files (x86)\Nova1492\datan\common\body1.TGA","pass"
"datan\common\body1_sz.gx","nova_frame_body1_sz","0x3AAE","20","14","C:\Program Files\Nova1492AR\data\body1.gx","0x0","0x6231","","","","0","0","0","0","0","0","-0.225533;0.041482;-0.667466|0.234263;0.320532;0.338776","","","C:\Program Files (x86)\Nova1492\datan\common\body1.TGA","pass"
"datan\common\body1_sz.gx","nova_frame_body1_sz","0x4460","12","10","Box0400","0x4039","0x4814","C:\Program Files\Nova1492AR\data\body1.gx","0x0","0x6231","0.004365","0.302813","-0.381462","0.004365","0.302813","-0.381462","-0.17229;0.302856;-0.660157|0.181021;0.644061;-0.227779","","","C:\Program Files (x86)\Nova1492\datan\common\body1.TGA","pass"
"datan\common\body1_sz.gx","nova_frame_body1_sz","0x482C","106","92","C:\Program Files\Nova1492AR\data\body1.gx","0x0","0x6231","","","","0","0","0","0","0","0","-0.40812;-0.00021;-0.547059|0.410135;0.555344;0.153683","","","C:\Program Files (x86)\Nova1492\datan\common\body1.TGA","pass"
"datan\common\body20_prsd.gx","nova_frame_body20_prsd","0xE54","200","162","body","0x7E","0x45EB","C:\Program Files\Nova1492AR\data\body42.gx","0x0","0x45F6","0","0","0","0","0","0","-0.486961;-0.100789;-0.812633|0.486961;0.764067;0.899916","","","C:\Program Files (x86)\Nova1492\datan\common\body42.TGA","pass"
"datan\common\body20_prsd.gx","nova_frame_body20_prsd","0x3FAD","6","4","________02","0x3D43","0x418C","body","0x7E","0x45EB","-0.459362","0.05188","-0.553679","-0.459362","0.05188","-0.553679","-0.479288;-0.006903;-0.62649|-0.439437;0.110662;-0.480867","","","C:\Program Files (x86)\Nova1492\datan\common\body42.TGA","pass"
"datan\common\body20_prsd.gx","nova_frame_body20_prsd","0x4401","6","4","________01","0x4197","0x45E0","body","0x7E","0x45EB","0.459345","0.051948","-0.553679","0.459345","0.051948","-0.553679","0.43942;-0.006835;-0.62649|0.479271;0.11073;-0.480867","","","C:\Program Files (x86)\Nova1492\datan\common\body42.TGA","pass"
"datan\common\body21_rzo.gx","nova_frame_body21_rzo","0x13D4","46","56","body","0x7E","0x2113","C:\Program Files\Nova1492AR\data\body51.gx","0x0","0x211E","0","0","0","0","0","0","-0.117755;-0.183192;-0.652446|0.117678;0.519809;0.54719","","","C:\Program Files (x86)\Nova1492\datan\common\body51.TGA","pass"
"datan\common\body22_kdd.gx","nova_frame_body22_kdd","0x1354","265","204","body","0x7E","0x506F","C:\Program Files\Nova1492AR\data\body71.gx","0x0","0x507A","0","0","0","0","0","0","-0.783428;-0.130986;-1.351557|0.757598;0.648877;0.436335","","","C:\Program Files (x86)\Nova1492\datan\common\body71.TGA","pass"
"datan\common\body23_ms.gx","nova_frame_body23_ms","0xE94","311","289","body","0x7E","0x744E","C:\Program Files\Nova1492AR\data\body81.gx","0x0","0x7459","0","0","0","0","0","0","-0.781163;-0.003012;-0.804865|0.781163;0.560019;1.091585","","","C:\Program Files (x86)\Nova1492\datan\common\body81.TGA","pass"
"datan\common\body23_ms.gx","nova_frame_body23_ms","0x5B78","4","2","____3","0x5913","0x5C9F","body","0x7E","0x744E","0.21476","0.381568","-0.460697","0.21476","0.381568","-0.460697","0.166035;0.342574;-0.684049|0.263486;0.420563;-0.237345","","","C:\Program Files (x86)\Nova1492\datan\common\body81.TGA","pass"
"datan\common\body23_ms.gx","nova_frame_body23_ms","0x5F0F","4","2","____4","0x5CAA","0x6036","body","0x7E","0x744E","0.20936","0.376568","-0.460697","0.20936","0.376568","-0.460697","0.160635;0.337574;-0.684049|0.258086;0.415563;-0.237345","","","C:\Program Files (x86)\Nova1492\datan\common\body81.TGA","pass"
"datan\common\body23_ms.gx","nova_frame_body23_ms","0x62A8","4","2","____3-1","0x6041","0x63CF","body","0x7E","0x744E","-0.218341","0.382358","-0.460697","-0.218341","0.382358","-0.460697","-0.268152;0.344558;-0.684049|-0.16853;0.420158;-0.237345","","","C:\Program Files (x86)\Nova1492\datan\common\body81.TGA","pass"
"datan\common\body23_ms.gx","nova_frame_body23_ms","0x6641","4","2","____4-1","0x63DA","0x6768","body","0x7E","0x744E","-0.21316","0.377387","-0.460483","-0.21316","0.377387","-0.460483","-0.262971;0.339587;-0.683835|-0.163349;0.415188;-0.237131","","","C:\Program Files (x86)\Nova1492\datan\common\body81.TGA","pass"
"datan\common\body23_ms.gx","nova_frame_body23_ms","0x69D8","7","5","____2","0x6773","0x6C07","body","0x7E","0x744E","-0.000478","0.258517","0.50114","-0.000478","0.258517","0.50114","-0.091494;0.220535;0.212716|0.090538;0.250126;0.789564","","","C:\Program Files (x86)\Nova1492\datan\common\body81.TGA","pass"
"datan\common\body23_ms.gx","nova_frame_body23_ms","0x6E77","5","3","____1","0x6C12","0x7024","body","0x7E","0x744E","0.197586","0.060299","0.691206","0.197586","0.060299","0.691206","0.086375;0.001622;0.631869|0.308797;0.118976;0.750543","","","C:\Program Files (x86)\Nova1492\datan\common\body81.TGA","pass"
"datan\common\body23_ms.gx","nova_frame_body23_ms","0x7296","5","3","____1-1","0x702F","0x7443","body","0x7E","0x744E","-0.204213","0.060299","0.692739","-0.204213","0.060299","0.692739","-0.315424;0.001622;0.633402|-0.093003;0.118976;0.752076","","","C:\Program Files (x86)\Nova1492\datan\common\body81.TGA","pass"
"datan\common\body24_grbs.gx","nova_frame_body24_grbs","0x144","96","86","body","0x7E","0x1B23","C:\Program Files\Nova1492AR\data\body82.gx","0x0","0x1B2E","0","0","0","0","0","0","-0.785116;-0.111296;-0.688614|0.785213;0.54935;1.037745","","","C:\Program Files (x86)\Nova1492\datan\common\body82.TGA","pass"
"datan\common\body25_bosro.gx","nova_frame_body25_bosro","0xED4","328","288","body","0x7E","0x798F","C:\Program Files\Nova1492AR\data\body90.gx","0x0","0x799A","0","0","0","0","0","0","-0.476063;0.000012;-0.971184|0.476063;0.755903;0.864937","","","C:\Program Files (x86)\Nova1492\datan\common\body90.TGA","pass"
"datan\common\body25_bosro.gx","nova_frame_body25_bosro","0x6281","4","2","Box16","0x5D9B","0x63A8","body","0x7E","0x798F","-0.000725","0.351749","-0.975665","-0.000725","0.351749","-0.975665","-0.108171;0.10897;-0.975665|0.106721;0.594528;-0.975665","","","C:\Program Files (x86)\Nova1492\datan\common\body90.TGA","pass"
"datan\common\body25_bosro.gx","nova_frame_body25_bosro","0x6959","4","2","Box01","0x63B3","0x6AD4","body","0x7E","0x798F","-0.005796","0.349055","-0.980115","-0.005796","0.349055","-0.980115","-0.165433;0.189418;-0.980115|0.153841;0.508692;-0.980115","","","C:\Program Files (x86)\Nova1492\datan\common\body90.TGA","pass"
"datan\common\body25_bosro.gx","nova_frame_body25_bosro","0x6D44","4","2","Box44","0x6ADF","0x6E6B","body","0x7E","0x798F","0.003998","0.702039","-0.211456","0.003998","0.702039","-0.211456","-0.033828;0.665183;-0.218792|0.041824;0.738896;-0.204121","","","C:\Program Files (x86)\Nova1492\datan\common\body90.TGA","pass"
"datan\common\body25_bosro.gx","nova_frame_body25_bosro","0x70DB","4","2","Box04","0x6E76","0x7256","body","0x7E","0x798F","0.005254","0.387415","-0.369898","0.005254","0.387415","-0.369898","-0.102631;0.27953;-0.369898|0.113138;0.4953;-0.369898","","","C:\Program Files (x86)\Nova1492\datan\common\body90.TGA","pass"
"datan\common\body25_bosro.gx","nova_frame_body25_bosro","0x74C6","4","2","Box42","0x7261","0x75ED","body","0x7E","0x798F","0.286233","0.134251","0.869102","0.286233","0.134251","0.869102","0.23987;0.087887;0.869102|0.332597;0.180614;0.869102","","","C:\Program Files (x86)\Nova1492\datan\common\body90.TGA","pass"
"datan\common\body25_bosro.gx","nova_frame_body25_bosro","0x785D","4","2","Box43","0x75F8","0x7984","body","0x7E","0x798F","-0.285109","0.134251","0.869087","-0.285109","0.134251","0.869087","-0.331472;0.087887;0.869087|-0.238745;0.180614;0.869087","","","C:\Program Files (x86)\Nova1492\datan\common\body90.TGA","pass"
"datan\common\body26_kp.gx","nova_frame_body26_kp","0x1214","85","77","body","0x7E","0x2709","C:\Program Files\Nova1492AR\data\body92.gx","0x0","0x2714","0","0","0","0","0","0","-0.120588;-0.052635;-0.611167|0.120588;0.558059;0.597695","","","C:\Program Files (x86)\Nova1492\datan\common\body92.TGA","pass"
"datan\common\body27_zns.gx","nova_frame_body27_zns","0x1214","147","165","body","0x7E","0x5934","C:\Program Files\Nova1492AR\data\body93.gx","0x0","0x593F","0","0","0","0","0","0","-0.8282;-0.135424;-0.919094|0.828199;0.697998;1.212353","","","C:\Program Files (x86)\Nova1492\datan\common\body93.TGA","pass"
"datan\common\body27_zns.gx","nova_frame_body27_zns","0x573A","5","4","Mesh01","0x3E53","0x5929","body","0x7E","0x5934","-0.000006","0.331439","0.808677","-0.000006","0.331439","0.808677","-0.120081;0.291736;0.554039|0.120068;0.371142;1.063315","","","C:\Program Files (x86)\Nova1492\datan\common\body93.TGA","pass"
"datan\common\body28_kp2.gx","nova_frame_body28_kp2","0xCD4","115","85","body","0x7E","0x2768","C:\Program Files\Nova1492AR\data\body94.gx","0x0","0x3004","0","0","0","0","0","0","-0.113706;-0.052592;-0.62849|0.113656;0.503709;0.570976","","","C:\Program Files (x86)\Nova1492\datan\common\body94.TGA","pass"
"datan\common\body28_kp2.gx","nova_frame_body28_kp2","0x2780","16","9","C:\Program Files\Nova1492AR\data\body94.gx","0x0","0x3004","","","","0","0","0","0","0","0","-0.083327;-0.004155;0.325989|0.083327;0.469389;0.571158","","","C:\Program Files (x86)\Nova1492\datan\common\body94.TGA","pass"
"datan\common\body28_kp2.gx","nova_frame_body28_kp2","0x2ED2","4","2","Plane05","0x2B6B","0x2FF9","C:\Program Files\Nova1492AR\data\body94.gx","0x0","0x3004","0.001174","0.231129","0.499321","0.001174","0.231129","0.499321","-0.012175;0.22055;0.491171|0.014523;0.241709;0.507471","","","C:\Program Files (x86)\Nova1492\datan\common\body94.TGA","pass"
"datan\common\body2_prt.gx","nova_frame_body2_prt","0x1852","105","112","body","0x7D","0x327F","C:\Program Files\Nova1492AR\data\body2.gx","0x0","0x328A","0","0","0","0","0","0","-0.216335;-0.03331;-0.676378|0.216335;0.510887;0.499478","","","C:\Program Files (x86)\Nova1492\datan\common\body2.TGA","pass"
