part_id,display_name,source_relative_path,audit_verdict,audit_flags,status,vertices,triangles,catalog_vertices,catalog_triangles,mesh_blocks,kept_block_count,dropped_blocks,large_dropped_block_count,has_root_marker,repair_rule,gx_pose_block_count,gx_pose_mode,gx_pose_applied,bounds,width,height,depth,center_x,center_y,center_z,obj_path,error
"nova_frame_body10_skdr","스쿼드론","datan\common\body10_skdr.gx","pass","","audited","108","115","108","115","3","3","","0","true","","3","detected","false","-0.197956;-0.037573;-0.439834|0.197956;0.482325;0.592034","0.395912","0.519898","1.031868","0","0.222376","0.0761","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body10_skdr_94005581.obj",""
"nova_frame_body11_kn","커널","datan\common\body11_kn.gx","pass","","audited","284","200","284","200","1","1","","0","true","","1","detected","false","-0.471598;-0.000188;-0.800507|0.471598;0.578365;0.729647","0.943196","0.578553","1.530154","0","0.289089","-0.03543","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body11_kn_c249f9d6.obj",""
"nova_frame_body12_kt","캡틴","datan\common\body12_kt.gx","pass","","audited","293","204","293","204","2","2","","0","true","","2","detected","false","-0.506475;-0.239667;-1.209826|0.503862;0.470612;0.713089","1.010337","0.710279","1.922915","-0.001306","0.115473","-0.248369","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body12_kt_f2fb4a01.obj",""
"nova_frame_body13_scro","센추리언","datan\common\body13_scro.gx","pass","","audited","126","120","126","120","1","1","","0","true","","1","detected","false","-0.575133;-0.206764;-0.997254|0.57512;0.668137;0.696424","1.150253","0.874901","1.693678","-0.000007","0.230687","-0.150415","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body13_scro_2e615f34.obj",""
"nova_frame_body14_trb","트리뷴","datan\common\body14_trb.gx","pass","","audited","156","153","156","153","1","1","","0","true","","1","detected","false","-0.686607;-0.10845;-1.02339|0.685572;0.567182;1.033791","1.372179","0.675632","2.057181","-0.000517","0.229366","0.0052","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body14_trb_47ad8aa6.obj",""
"nova_frame_body15_znr","제너럴","datan\common\body15_znr.gx","pass","","audited","196","184","196","184","3","3","","0","true","","3","detected","false","-0.410133;-0.060943;-1.123939|0.410133;0.582455;0.77923","0.820266","0.643398","1.903169","0","0.260756","-0.172355","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body15_znr_2ea96416.obj",""
"nova_frame_body16_kmdo","코모도어","datan\common\body16_kmdo.gx","pass","","audited","277","180","277","180","1","1","","0","true","","1","detected","false","-0.496532;0.000023;-1.157569|0.498965;0.670992;0.742981","0.995497","0.670969","1.90055","0.001217","0.335508","-0.207294","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body16_kmdo_22f3ff74.obj",""
"nova_frame_body17_rzmt","레지먼트","datan\common\body17_rzmt.gx","pass","","audited","118","108","118","108","1","1","","0","true","","1","detected","false","-0.14339;-0.023442;-0.355082|0.14339;0.471127;0.481214","0.28678","0.494569","0.836296","0","0.223843","0.063066","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body17_rzmt_bd44b992.obj",""
"nova_frame_body18_brgod","브리게이드","datan\common\body18_brgod.gx","pass","","audited","144","68","144","68","2","2","","0","true","","1","detected","false","-0.118918;-0.038752;-0.540945|0.119002;0.502958;0.48785","0.23792","0.54171","1.028795","0.000042","0.232103","-0.026547","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body18_brgod_53f787ed.obj",""
"nova_frame_body19_spd","스파덱","datan\common\body19_spd.gx","pass","","audited","241","223","241","223","2","2","","0","true","","2","detected","false","-0.416012;-0.20644;-1.05874|0.435745;0.518056;0.572183","0.851757","0.724496","1.630923","0.009867","0.155808","-0.243279","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body19_spd_76e60ddb.obj",""
"nova_frame_body1_sz","서전","datan\common\body1_sz.gx","pass","","audited","330","316","330","316","4","4","","0","true","","2","detected","false","-0.566054;-0.0413;-0.87684|0.574656;0.644061;0.36007","1.14071","0.685361","1.23691","0.004301","0.301381","-0.258385","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body1_sz_206b7fcc.obj",""
"nova_frame_body20_prsd","플러시덱","datan\common\body20_prsd.gx","pass","","audited","212","170","212","170","3","3","","0","true","","3","detected","false","-0.486961;-0.100789;-0.812633|0.486961;0.764067;0.899916","0.973922","0.864856","1.712549","0","0.331639","0.043642","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body20_prsd_e606010d.obj",""
"nova_frame_body21_rzo","레지온","datan\common\body21_rzo.gx","pass","","audited","46","56","46","56","1","1","","0","true","","1","detected","false","-0.117755;-0.183192;-0.652446|0.117678;0.519809;0.54719","0.235433","0.703001","1.199636","-0.000039","0.168309","-0.052628","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body21_rzo_56411c08.obj",""
"nova_frame_body22_kdd","쿼터덱","datan\common\body22_kdd.gx","pass","","audited","265","204","265","204","1","1","","0","true","","1","detected","false","-0.783428;-0.130986;-1.351557|0.757598;0.648877;0.436335","1.541026","0.779863","1.787892","-0.012915","0.258946","-0.457611","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body22_kdd_64eb6960.obj",""
"nova_frame_body23_ms","마샬","datan\common\body23_ms.gx","pass","","audited","344","308","344","308","8","8","","0","true","","8","detected","false","-0.781163;-0.003012;-0.804865|0.781163;0.560019;1.091585","1.562326","0.563031","1.89645","0","0.278504","0.14336","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body23_ms_08bb8d65.obj",""
"nova_frame_body24_grbs","그라비스","datan\common\body24_grbs.gx","pass","","audited","96","86","96","86","1","1","","0","true","","0","none","false","-0.785116;-0.111296;-0.688614|0.785213;0.54935;1.037745","1.570329","0.660646","1.726359","0.000048","0.219027","0.174566","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body24_grbs_292161f9.obj",""
"nova_frame_body25_bosro","바이스로이","datan\common\body25_bosro.gx","pass","","audited","352","300","352","300","7","7","","0","true","","7","detected","false","-0.476063;0.000012;-0.980115|0.476063;0.755903;0.869102","0.952126","0.755891","1.849217","0","0.377958","-0.055507","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body25_bosro_0459d605.obj",""
"nova_frame_body26_kp","킹핀","datan\common\body26_kp.gx","pass","","audited","85","77","85","77","1","1","","0","true","","1","detected","false","-0.120588;-0.052635;-0.611167|0.120588;0.558059;0.597695","0.241176","0.610694","1.208862","0","0.252712","-0.006736","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body26_kp_7fafe886.obj",""
"nova_frame_body27_zns","제니스","datan\common\body27_zns.gx","pass","","audited","152","169","152","169","2","2","","0","true","","2","detected","false","-0.8282;-0.135424;-0.919094|0.828199;0.697998;1.212353","1.656399","0.833422","2.131447","-0","0.281287","0.14663","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body27_zns_072ec40a.obj",""
"nova_frame_body28_kp2","킹핀II","datan\common\body28_kp2.gx","pass","","audited","135","96","135","96","3","3","","0","true","","2","detected","false","-0.113706;-0.052592;-0.62849|0.113656;0.503709;0.571158","0.227362","0.556301","1.199648","-0.000025","0.225559","-0.028666","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body28_kp2_599df616.obj",""
"nova_frame_body2_prt","플래툰","datan\common\body2_prt.gx","pass","","audited","105","112","105","112","1","1","","0","true","","1","detected","false","-0.216335;-0.03331;-0.676378|0.216335;0.510887;0.499478","0.43267","0.544197","1.175856","0","0.238789","-0.08845","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body2_prt_ccf3d653.obj",""
"nova_frame_body32_brps","플랫피쉬","datan\common\body32_brps.gx","pass","","audited","152","154","152","154","8","8","","0","true","","8","detected","false","-0.870967;-0.126221;-0.841866|0.871013;0.858522;1.255353","1.74198","0.984743","2.097219","0.000023","0.366151","0.206744","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body32_brps_5f5b2911.obj",""
"nova_frame_body35_trbn","트리뷰널","datan\common\body35_trbn.gx","pass","","audited","141","150","141","150","3","3","","0","true","","3","detected","false","-0.749449;-0.001042;-1.008157|0.749408;0.718913;1.169052","1.498857","0.719955","2.177209","-0.000021","0.358936","0.080447","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body35_trbn_d1bbed1d.obj",""
"nova_frame_body36_rzn","레지널","datan\common\body36_rzn.gx","pass","","audited","90","66","90","66","1","1","","0","true","","1","detected","false","-0.123989;0.000887;-0.617402|0.123989;0.508422;0.685047","0.247978","0.507535","1.302449","0","0.254655","0.033822","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body36_rzn_9e3e52b7.obj",""
"nova_frame_body37_ktn","캡티널","datan\common\body37_ktn.gx","pass","","audited","405","321","405","321","9","9","","0","true","","8","detected","false","-0.4159;-0.000619;-0.789376|0.4159;0.615412;0.860025","0.8318","0.616031","1.649401","0","0.307397","0.035324","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body37_ktn_c91a1edb.obj",""
"nova_frame_body38_qrso","퀴러시어","datan\common\body38_qrso.gx","pass","","audited","96","76","96","76","6","6","","0","true","","0","none","false","-0.168618;0.000031;-0.438012|0.169593;0.480874;0.605898","0.338211","0.480843","1.04391","0.000488","0.240453","0.083943","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body38_qrso_221babe8.obj",""
"nova_frame_body3_bgd","뱅가드","datan\common\body3_bgd.gx","pass","","audited","93","102","93","102","1","1","","0","true","","0","none","false","-0.455127;0.000002;-1.042128|0.455127;0.651878;0.831618","0.910254","0.651876","1.873746","0","0.32594","-0.105255","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body3_bgd_fb4cab73.obj",""
"nova_frame_body4_kpr","코포럴","datan\common\body4_kpr.gx","pass","","audited","152","166","152","166","1","1","","0","true","","1","detected","false","-0.34172;-0.073429;-0.925022|0.340684;0.513606;0.667625","0.682404","0.587035","1.592647","-0.000518","0.220089","-0.128699","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body4_kpr_b03748d5.obj",""
"nova_frame_body5_skms","스쿼미쉬","datan\common\body5_skms.gx","pass","","audited","90","85","90","85","1","1","","0","true","","1","detected","false","-0.433065;-0.000034;-1.055853|0.434017;0.845983;0.441231","0.867082","0.846017","1.497084","0.000476","0.422975","-0.307311","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body5_skms_dc8d1685.obj",""
"nova_frame_body6_skd","스쿼드","datan\common\body6_skd.gx","pass","","audited","32","40","32","40","1","1","","0","true","","1","detected","false","-0.108889;0.061873;-0.325169|0.109774;0.497046;0.582697","0.218663","0.435173","0.907866","0.000443","0.27946","0.128764","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body6_skd_9d3557d0.obj",""
"nova_frame_body7_mops","메인포스","datan\common\body7_mops.gx","pass","","audited","121","113","121","113","1","1","","0","true","","1","detected","false","-0.627229;-0.113084;-0.981287|0.62173;0.515518;0.654414","1.248959","0.628602","1.635701","-0.002749","0.201217","-0.163437","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body7_mops_fb84e207.obj",""
