part_id,display_name,source_relative_path,audit_verdict,audit_flags,review_result,notes
"nova_frame_body10_skdr","스쿼드론","datan\common\body10_skdr.gx","pass","","",""
"nova_frame_body11_kn","커널","datan\common\body11_kn.gx","pass","","",""
"nova_frame_body12_kt","캡틴","datan\common\body12_kt.gx","pass","","",""
"nova_frame_body13_scro","센추리언","datan\common\body13_scro.gx","pass","","",""
"nova_frame_body14_trb","트리뷴","datan\common\body14_trb.gx","pass","","",""
"nova_frame_body15_znr","제너럴","datan\common\body15_znr.gx","pass","","",""
"nova_frame_body16_kmdo","코모도어","datan\common\body16_kmdo.gx","pass","","",""
"nova_frame_body17_rzmt","레지먼트","datan\common\body17_rzmt.gx","pass","","",""
"nova_frame_body18_brgod","브리게이드","datan\common\body18_brgod.gx","pass","","",""
"nova_frame_body19_spd","스파덱","datan\common\body19_spd.gx","pass","","",""
"nova_frame_body1_sz","서전","datan\common\body1_sz.gx","pass","","",""
"nova_frame_body20_prsd","플러시덱","datan\common\body20_prsd.gx","pass","","",""
"nova_frame_body21_rzo","레지온","datan\common\body21_rzo.gx","pass","","",""
"nova_frame_body22_kdd","쿼터덱","datan\common\body22_kdd.gx","pass","","",""
"nova_frame_body23_ms","마샬","datan\common\body23_ms.gx","pass","","",""
"nova_frame_body24_grbs","그라비스","datan\common\body24_grbs.gx","pass","","",""
"nova_frame_body25_bosro","바이스로이","datan\common\body25_bosro.gx","pass","","",""
"nova_frame_body26_kp","킹핀","datan\common\body26_kp.gx","pass","","",""
"nova_frame_body27_zns","제니스","datan\common\body27_zns.gx","pass","","",""
"nova_frame_body28_kp2","킹핀II","datan\common\body28_kp2.gx","pass","","",""
"nova_frame_body2_prt","플래툰","datan\common\body2_prt.gx","pass","","",""
"nova_frame_body32_brps","플랫피쉬","datan\common\body32_brps.gx","pass","","",""
"nova_frame_body35_trbn","트리뷰널","datan\common\body35_trbn.gx","pass","","",""
"nova_frame_body36_rzn","레지널","datan\common\body36_rzn.gx","pass","","",""
"nova_frame_body37_ktn","캡티널","datan\common\body37_ktn.gx","pass","","",""
"nova_frame_body38_qrso","퀴러시어","datan\common\body38_qrso.gx","pass","","",""
"nova_frame_body3_bgd","뱅가드","datan\common\body3_bgd.gx","pass","","",""
"nova_frame_body4_kpr","코포럴","datan\common\body4_kpr.gx","pass","","",""
"nova_frame_body5_skms","스쿼미쉬","datan\common\body5_skms.gx","pass","","",""
"nova_frame_body6_skd","스쿼드","datan\common\body6_skd.gx","pass","","",""
"nova_frame_body7_mops","메인포스","datan\common\body7_mops.gx","pass","","",""
"nova_frame_body8_brc","블릿츠","datan\common\body8_brc.gx","pass","","",""
"nova_frame_body9_btro","바탈리언","datan\common\body9_btro.gx","pass","","",""
"nova_frame_n_body39_brgod","브리게이드N","datan\common\n_body39_brgod.gx","pass","","",""
"nova_frame_n_body40_zns","제니스N","datan\common\n_body40_zns.gx","pass","","",""
"nova_frame_n_body41_kmdo","코모도어N","datan\common\n_body41_kmdo.gx","pass","","",""
"nova_frame_n_body42_kdd","쿼더덱N","datan\common\n_body42_kdd.gx","review","center_x_outlier","",""
"nova_frame_n_body43_prt","플래툰N","datan\common\n_body43_prt.gx","pass","","",""
"nova_frame_n_body44_brps","플랫피쉬N","datan\common\n_body44_brps.gx","pass","","",""
"nova_frame_n_body47_kp","킹핀N","datan\common\n_body47_kp.gx","pass","","",""
"nova_frame_n_body48_grbs","그라비스N","datan\common\n_body48_grbs.gx","pass","","",""
"nova_frame_n_body49_rzmt","레지먼트N","datan\common\n_body49_rzmt.gx","review","center_x_outlier","",""
"nova_frame_n_body50_bgd","뱅가드N","datan\common\n_body50_bgd.gx","pass","","",""
