source_relative_path,part_id,mesh_header,vertices,triangles,node,node_start,node_end,parent_node,parent_start,parent_end,local_tx,local_ty,local_tz,tx,ty,tz,bounds,repair_rule,repair_reason,texture_source,assessment
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x146","6","4","top","0x83","0x3B6","D:\NOVA\2003.5.13\????????\????????\????????.GX","0x0","0x5A0","0","0","0","0","0","0","-0.353618;0.001583;-0.204779|0.353618;0.616617;-0.204779","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x3CE","4","2","D:\NOVA\2003.5.13\????????\????????\????????.GX","0x0","0x5A0","","","","0","0","0","0","0","0","-0.307794;0.003608;-0.210975|0.307794;0.614011;-0.206095","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x5B8","34","22","","","","","","","0","0","0","0","0","0","-0.353618;0.001583;-0.882728|0.353618;0.97174;0.455588","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xEC2","66","40","","","","","","","0","0","0","0","0","0","-0.353618;0.001583;-0.882728|0.353618;0.97174;0.455588","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x1DB8","24","16","","","","","","","0","0","0","0","0","0","-0.202068;0.001583;-0.201973|0.202068;0.616617;0.455588","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x3676","69","40","Sphere07","0x23DB","0x443A","","","","0","0.621455","-0.005478","0","0.621455","-0.005478","-0.152144;0.634694;-0.166735|0.153737;0.914492;0.208207","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x4452","16","14","","","","","","","0","0","0","0","0","0","-0.152192;0.012976;-0.156328|0.153713;0.278754;0.004002","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x4C40","16","20","Box395","0x48A8","0x52AC","","","","0.354447","0.516808","-0.074429","0.354447","0.516808","-0.074429","0.349526;0.205784;-0.349491|0.798526;0.827832;0.200632","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x52C4","4","2","","","","","","","0","0","0","0","0","0","-0.00492;0.053175;-0.275062|-0.00492;0.311024;0.275062","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x6E18","35","16","Box396","0x543F","0xA01E","","","","0.151142","-0.064165","0.019395","0.151142","-0.064165","0.019395","0.034686;-0.433142;-0.238811|0.479981;0.060423;0.143342","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
