source_relative_path,part_id,mesh_header,vertices,triangles,node,node_start,node_end,parent_node,parent_start,parent_end,local_tx,local_ty,local_tz,tx,ty,tz,bounds,repair_rule,repair_reason,texture_source,assessment
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0x1B97","367","322","legs","0x7F","0xCEA8","C:\Program Files\Nova1492AR\data\legsG3_.gx","0x0","0xCEB3","0","1.526396","-0","0","1.526396","0","-0.705175;0.003068;-1.976316|0.690918;1.650985;0.59142","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0x7C1D","4","2","Box64","0x79B8","0x7D98","legs","0x7F","0xCEA8","-0.268508","0.175008","-0.123369","-0.268508","1.701404","-0.123369","-0.321017;1.563985;-0.26415|-0.216;1.838822;0.017411","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0x8008","4","2","Box67","0x7DA3","0x8183","legs","0x7F","0xCEA8","-0.268508","-0.175008","-0.123369","-0.268508","1.351389","-0.123369","-0.321017;1.21397;-0.26415|-0.215999;1.488807;0.017411","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0x83F3","4","2","Box63","0x818E","0x856E","legs","0x7F","0xCEA8","-0.292237","0.175008","-0.040282","-0.292237","1.701404","-0.040282","-0.349702;1.563985;-0.185433|-0.234771;1.838822;0.104869","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0x87DE","4","2","Box66","0x8579","0x8959","legs","0x7F","0xCEA8","-0.292237","-0.175008","-0.040282","-0.292237","1.351389","-0.040282","-0.349702;1.21397;-0.185433|-0.234771;1.488807;0.104869","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0x8BC9","4","2","Box68","0x8964","0x8D44","legs","0x7F","0xCEA8","-0.29139","0.175008","0.046122","-0.29139","1.701404","0.046122","-0.349079;1.563985;-0.091445|-0.2337;1.838822;0.183689","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0x8FB4","4","2","Box65","0x8D4F","0x912F","legs","0x7F","0xCEA8","-0.29139","-0.175008","0.046122","-0.29139","1.351389","0.046122","-0.349079;1.21397;-0.091444|-0.2337;1.488807;0.183689","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0x939E","4","2","BB01","0x913A","0x9519","legs","0x7F","0xCEA8","0.288209","0.175008","0.046122","0.288209","1.701404","0.046122","0.230519;1.563985;-0.091445|0.345898;1.838822;0.183689","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0x9788","4","2","BB02","0x9524","0x9903","legs","0x7F","0xCEA8","0.289055","0.175008","-0.040282","0.289055","1.701404","-0.040282","0.23159;1.563985;-0.185433|0.346521;1.838822;0.104869","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0x9B72","4","2","BB03","0x990E","0x9CED","legs","0x7F","0xCEA8","0.265327","0.175008","-0.123369","0.265327","1.701404","-0.123369","0.212818;1.563985;-0.26415|0.317836;1.838822;0.017411","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0x9F5D","4","2","Box42","0x9CF8","0xA0D8","legs","0x7F","0xCEA8","0.265327","-0.175008","-0.123369","0.265327","1.351389","-0.123369","0.212818;1.21397;-0.26415|0.317836;1.488807;0.017411","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
"datan\common\g_legs37_sts.gx","nova_mob_g_legs37_sts","0xA348","4","2","Box41","0xA0E3","0xA4C3","legs","0x7F","0xCEA8","0.289055","-0.175008","-0.040282","0.289055","1.351389","-0.040282","0.23159;1.21397;-0.185433|0.346521;1.488807;0.104869","","","C:\Program Files (x86)\Nova1492\datan\common\legsG3_.TGA","pass"
