part_id,display_name,source_relative_path,audit_verdict,audit_flags,status,vertices,triangles,catalog_vertices,catalog_triangles,mesh_blocks,kept_block_count,dropped_blocks,large_dropped_block_count,has_legs_marker,repair_rule,gx_pose_block_count,gx_pose_mode,gx_pose_applied,bounds,width,height,depth,center_x,center_y,center_z,obj_path,error
"nova_mob_g_legs37_sts","스타쉽G","datan\common\g_legs37_sts.gx","review","dropped_block_present;gx_pose_unapplied_candidate","audited","441","366","441","366","16","15","0xCBD2:v12:t12","0","true","","16","detected","false","-0.705175;0.003068;-1.976316|0.690918;1.838822;0.59142","1.396093","1.835754","2.567736","-0.007128","0.920945","-0.692448","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs37_sts_a7ad1747.obj",""
"nova_mob_g_legs57_ppo","피파울G","datan\common\g_legs57_ppo.gx","review","repair_applied;gx_pose_unapplied_candidate;center_y_outlier","audited","959","546","959","546","22","22","","0","true","legs_orphan_and_mirror_bounds_repair","22","detected","false","-0.647355;0.87289;-1.607105|0.99857;3.008149;1.410269","1.645925","2.135259","3.017374","0.175608","1.940519","-0.098418","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs57_ppo_3fb7eb59.obj",""
"nova_mob_g_legs58_pps","포퍼스G","datan\common\g_legs58_pps.gx","review","repair_applied;dropped_block_present;gx_pose_unapplied_candidate","audited","540","327","540","327","25","20","0xD55C:v12:t12;0xE6C5:v12:t12;0xF82E:v12:t12;0x10997:v12:t12;0x11B00:v12:t12","0","true","legs_orphan_and_mirror_bounds_repair","6","detected","false","-0.89217;0.012997;-1.436019|0.899161;1.748133;1.494102","1.791331","1.735136","2.930121","0.003495","0.880565","0.029042","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs58_pps_69a83f4e.obj",""
"nova_mob_g_legs59_hb","호버G","datan\common\g_legs59_hb.gx","pass","","audited","346","410","346","410","3","3","","0","true","","3","detected","false","-1.047382;0.015712;-1.106391|1.039079;1.299288;1.564743","2.086461","1.283576","2.671134","-0.004152","0.6575","0.229176","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs59_hb_005ddc58.obj",""
"nova_mob_g_legs60_hord","하이로더G","datan\common\g_legs60_hord.gx","pass","","audited","378","378","378","378","12","12","","0","true","","12","detected","false","-0.641849;-0;-1.160438|0.642658;1.581898;0.613381","1.284507","1.581898","1.773819","0.000405","0.790949","-0.273529","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs60_hord_e9dbaa85.obj",""
"nova_mob_legs10_prg","프리깃","datan\common\legs10_prg.gx","pass","","audited","436","376","436","376","3","3","","0","true","","3","detected","false","-1.345014;0.000944;-1.688567|1.358848;0.798655;1.055467","2.703862","0.797711","2.744034","0.006917","0.3998","-0.31655","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs10_prg_a1bd2681.obj",""
"nova_mob_legs11_strod","스트라이더","datan\common\legs11_strod.gx","pass","","audited","268","312","268","312","9","9","","0","true","","9","detected","false","-0.552318;0.00159;-0.411293|0.553376;1.539879;0.429269","1.105694","1.538289","0.840562","0.000529","0.770735","0.008988","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs11_strod_bd5c7d83.obj",""
"nova_mob_legs12_kb","코벳","datan\common\legs12_kb.gx","review","dropped_block_present;gx_pose_unapplied_candidate","audited","200","211","200","211","4","3","0x5AA5:v12:t12","0","true","","4","detected","false","-0.987994;-0.618605;-1.212834|0.988023;0.589403;1.033043","1.976017","1.208008","2.245877","0.000014","-0.014601","-0.089895","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs12_kb_8abdf395.obj",""
"nova_mob_legs13_krz","크루저","datan\common\legs13_krz.gx","review","dropped_block_present;gx_pose_unapplied_candidate","audited","246","300","246","300","4","2","0x792A:v12:t12;0x8935:v12:t12","0","true","","4","detected","false","-1.100605;0.158487;-1.433661|1.100608;1.941283;2.805035","2.201213","1.782796","4.238696","0.000001","1.049885","0.685687","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs13_krz_e135c433.obj",""
"nova_mob_legs14_grp","갤로퍼","datan\common\legs14_grp.gx","pass","","audited","438","496","438","496","17","17","","0","true","","17","detected","false","-1.156087;-0.001126;-1.161204|1.163688;1.401378;1.093459","2.319775","1.402504","2.254663","0.0038","0.700126","-0.033872","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs14_grp_bf5729fa.obj",""
"nova_mob_legs15_krr","크롤러","datan\common\legs15_krr.gx","review","repair_applied;gx_pose_unapplied_candidate","audited","280","234","280","234","7","7","","0","true","legs_orphan_and_mirror_bounds_repair","7","detected","false","-0.910493;0.014123;-0.750986|0.910493;1.377139;1.515178","1.820986","1.363016","2.266164","0","0.695631","0.382096","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs15_krr_7b9bbcfe.obj",""
"nova_mob_legs16_sprt","스플리터","datan\common\legs16_sprt.gx","pass","","audited","438","426","438","426","11","11","","0","true","","11","detected","false","-0.664146;-0.027534;-0.966136|0.664146;1.412826;0.772895","1.328292","1.44036","1.739031","0","0.692646","-0.096621","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs16_sprt_cd6cb45e.obj",""
"nova_mob_legs17_oprd","오프로더","datan\common\legs17_oprd.gx","pass","","audited","325","464","325","464","19","19","","0","true","","19","detected","false","-1.088608;-0.002415;-1.487961|1.08196;1.415411;1.022786","2.170568","1.417826","2.510747","-0.003324","0.706498","-0.232588","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs17_oprd_e69338b9.obj",""
"nova_mob_legs18_hord","하이로더","datan\common\legs18_hord.gx","pass","","audited","378","378","378","378","12","12","","0","true","","12","detected","false","-0.641849;-0;-1.160438|0.642658;1.581898;0.613381","1.284507","1.581898","1.773819","0.000405","0.790949","-0.273529","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs18_hord_bf0600c0.obj",""
"nova_mob_legs1_rdrn","로드런너","datan\common\legs1_rdrn.gx","pass","","audited","352","360","352","360","12","12","","0","true","","12","detected","false","-0.593805;0.000032;-0.769344|0.590895;1.292119;1.059758","1.1847","1.292087","1.829102","-0.001455","0.646076","0.145207","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs1_rdrn_46fa96e7.obj",""
"nova_mob_legs20_spod","스파이더","datan\common\legs20_spod.gx","review","repair_applied;dropped_block_present;height_outlier","audited","650","676","650","676","16","15","0x5982:v4:t4","0","true","gx_pose_frame_semantic_hierarchy","15","verified","true","-1.743018;-1.528291;-1.049676|1.743143;1.879621;1.198718","3.486161","3.407912","2.248394","0.000062","0.175665","0.074521","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs20_spod_160594f4.obj",""
"nova_mob_legs21_ksor","카소와리","datan\common\legs21_ksor.gx","pass","","audited","384","360","384","360","13","13","","0","true","","13","detected","false","-0.775391;-0.008905;-1.6565|0.775391;1.512547;0.62887","1.550782","1.521452","2.28537","0","0.751821","-0.513815","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs21_ksor_0e549f78.obj",""
"nova_mob_legs23_tk","탱커","datan\common\legs23_tk.gx","high","large_dropped_block;catalog_count_mismatch;repair_applied;dropped_block_present;gx_pose_unapplied_candidate","audited","843","677","908","713","27","18","0x147A0:v8:t4;0x15DC2:v4:t2;0x162E2:v4:t2;0x167AE:v4:t2;0x1708F:v4:t2;0x1A96D:v17:t10;0x1AE47:v8:t4;0x1B129:v8:t4;0x1C16E:v12:t8","5","true","legs_orphan_and_mirror_bounds_repair","16","detected","false","-1.356659;-0.02736;-1.721731|1.356659;1.869304;1.930888","2.713318","1.896664","3.652619","0","0.920972","0.104579","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs23_tk_03b41884.obj",""
"nova_mob_legs24_sts","스타쉽","datan\common\legs24_sts.gx","review","dropped_block_present;gx_pose_unapplied_candidate","audited","441","366","441","366","16","15","0xCBD2:v12:t12","0","true","","16","detected","false","-0.705175;0.003068;-1.976316|0.690918;1.838822;0.59142","1.396093","1.835754","2.567736","-0.007128","0.920945","-0.692448","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs24_sts_3e631676.obj",""
"nova_mob_legs25_kd","쿼더","datan\common\legs25_kd.gx","review","dropped_block_present;gx_pose_unapplied_candidate","audited","476","370","476","370","9","7","0x104DA:v4:t4;0x11217:v4:t4","0","true","","9","detected","false","-0.746558;-0.03408;-1.328704|0.760806;0.926688;1.723791","1.507364","0.960768","3.052495","0.007124","0.446304","0.197544","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs25_kd_803953d7.obj",""
"nova_mob_legs2_tdr","토들러","datan\common\legs2_tdr.gx","pass","","audited","414","390","414","390","13","13","","0","true","","13","detected","false","-0.461817;0.00213;-0.325375|0.461744;1.385205;0.453062","0.923561","1.383075","0.778437","-0.000036","0.693668","0.063844","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs2_tdr_35825de3.obj",""
"nova_mob_legs34_dpns","델피누스","datan\common\legs34_dpns.gx","review","repair_applied;gx_pose_unapplied_candidate","audited","325","195","325","195","20","20","","0","true","legs_orphan_and_mirror_bounds_repair","10","detected","false","-1.177795;-0.304557;-1.477319|1.125382;1.194538;1.335887","2.303177","1.499095","2.813206","-0.026207","0.444991","-0.070716","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs34_dpns_c3eae0c2.obj",""
"nova_mob_legs3_ktpr","캐터필러","datan\common\legs3_ktpr.gx","review","repair_applied;gx_pose_unapplied_candidate","audited","204","222","204","222","12","12","","0","true","legs_orphan_and_mirror_bounds_repair","12","detected","false","-0.599133;-0.136053;-1.28457|0.599636;1.525346;1.050141","1.198769","1.661399","2.334711","0.000252","0.694647","-0.117215","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs3_ktpr_aa64fc50.obj",""
"nova_mob_legs49_otrs","옵테릭스","datan\common\legs49_otrs.gx","review","center_x_outlier","audited","453","520","453","520","26","26","","0","true","","15","detected","false","-0.342192;-1.329139;-1.808486|1.37663;0.658344;0.994483","1.718822","1.987483","2.802969","0.517219","-0.335398","-0.407002","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs49_otrs_c7f057fd.obj",""
