part_id,display_name,source_relative_path,audit_verdict,audit_flags,status,vertices,triangles,catalog_vertices,catalog_triangles,mesh_blocks,kept_block_count,dropped_blocks,large_dropped_block_count,has_legs_marker,repair_rule,gx_pose_block_count,gx_pose_mode,gx_pose_applied,bounds,width,height,depth,center_x,center_y,center_z,obj_path,error
"nova_mob_g_legs37_sts","스타쉽G","datan\common\g_legs37_sts.gx","high","catalog_count_mismatch","audited","453","378","441","366","16","16","","0","true","","16","force","true","-3.721807;1.927327;-21.62079|0.690918;3.847024;0.616434","4.412725","1.919697","22.23722","-1.515445","2.887176","-10.50218","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs37_sts_a7ad1747.obj",""
"nova_mob_g_legs57_ppo","피파울G","datan\common\g_legs57_ppo.gx","review","repair_applied","audited","959","546","959","546","22","22","","0","true","legs_orphan_and_mirror_bounds_repair","22","force","true","-0.505956;0.27699;-1.609736|1.512203;3.701786;1.410269","2.018159","3.424796","3.020005","0.503124","1.989388","-0.099733","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs57_ppo_3fb7eb59.obj",""
"nova_mob_g_legs58_pps","포퍼스G","datan\common\g_legs58_pps.gx","high","catalog_count_mismatch;width_outlier;height_outlier;depth_outlier;center_x_outlier;center_y_outlier;center_z_outlier","audited","600","387","540","327","25","25","","0","true","","6","force","true","-2931.597;-1526.438;-14742.09|1468.819;3115.027;1.428348","4400.416","4641.465","14743.52","-731.389","794.2946","-7370.331","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs58_pps_69a83f4e.obj",""
"nova_mob_g_legs59_hb","호버G","datan\common\g_legs59_hb.gx","pass","","audited","346","410","346","410","3","3","","0","true","","3","force","true","-3.45567;-0.010315;-3.454156|3.43998;2.767958;5.373962","6.89565","2.778273","8.828117","-0.007845","1.378821","0.959903","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs59_hb_005ddc58.obj",""
"nova_mob_g_legs60_hord","하이로더G","datan\common\g_legs60_hord.gx","review","repair_applied","audited","378","378","378","378","12","12","","0","true","legs_orphan_and_mirror_bounds_repair","12","force","true","-0.740697;1.241086;-1.46663|0.383703;3.432624;0.475969","1.1244","2.191538","1.942599","-0.178497","2.336855","-0.495331","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs60_hord_e9dbaa85.obj",""
"nova_mob_legs10_prg","프리깃","datan\common\legs10_prg.gx","pass","","audited","436","376","436","376","3","3","","0","true","","3","force","true","-1.241642;0.770402;-1.663812|1.255415;1.679584;1.063537","2.497057","0.909182","2.727349","0.006886","1.224993","-0.300138","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs10_prg_a1bd2681.obj",""
"nova_mob_legs11_strod","스트라이더","datan\common\legs11_strod.gx","pass","","audited","268","312","268","312","9","9","","0","true","","9","force","true","-0.653734;-0.48389;-0.572345|0.370108;2.938499;0.707216","1.023842","3.422389","1.279561","-0.141813","1.227304","0.067436","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs11_strod_bd5c7d83.obj",""
"nova_mob_legs12_kb","코벳","datan\common\legs12_kb.gx","high","catalog_count_mismatch","audited","212","223","200","211","4","4","","0","true","","4","force","true","-6.567999;-12.35253;-1.514366|9.06897;1.482646;8.282165","15.63697","13.83518","9.796531","1.250485","-5.434942","3.383899","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs12_kb_8abdf395.obj",""
"nova_mob_legs13_krz","크루저","datan\common\legs13_krz.gx","high","catalog_count_mismatch","audited","270","324","246","300","4","4","","0","true","","4","force","true","-3.470424;-2.488701;-5.372329|1.218603;3.628088;1.532487","4.689027","6.116789","6.904816","-1.125911","0.569693","-1.919921","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs13_krz_e135c433.obj",""
"nova_mob_legs14_grp","갤로퍼","datan\common\legs14_grp.gx","pass","","audited","438","496","438","496","17","17","","0","true","","17","force","true","-0.89077;-0.927731;-0.258576|1.268075;2.802763;1.537489","2.158845","3.730494","1.796065","0.188653","0.937516","0.639457","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs14_grp_bf5729fa.obj",""
