"partId","slot","category","source_relative_path","originalCode","originalName","model_path","vertices","triangles","tier","displayName","needsNameReview","modelExists","playableStatus","baseHp","baseAttackSpeed","baseMoveRange","attackDamage","attackSpeed","range","hpBonus","moveRange","anchorRange"
"nova_fire_arm14_hbsz","Firepower","UnitParts/ArmWeapons","datan\common\arm14_hbsz.gx","3014","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm14_hbsz_04ed14da.obj","321","221","2","Arm14 Hbsz","False","True","generated","","","","32","1.19","5.5","","",""
"nova_fire_arm16_mgbr","Firepower","UnitParts/ArmWeapons","datan\common\arm16_mgbr.gx","3016","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm16_mgbr_3f89d892.obj","392","302","3","Arm16 Mgbr","False","True","generated","","","","40","1.06","6.25","","",""
"nova_fire_arm2_hbbr","Firepower","UnitParts/ArmWeapons","datan\common\arm2_hbbr.gx","3002","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm2_hbbr_b60c5fe0.obj","389","309","3","Arm2 Hbbr","False","True","generated","","","","40","1.06","6.25","","",""
"nova_fire_arm3_krst","Firepower","UnitParts/ArmWeapons","datan\common\arm3_krst.gx","3003","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm3_krst_c49c0c78.obj","174","199","1","Arm3 Krst","False","True","generated","","","","24","1.32","4.75","","",""
"nova_fire_arm5_dmsz","Firepower","UnitParts/ArmWeapons","datan\common\arm5_dmsz.gx","3005","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm5_dmsz_470fcf84.obj","81","80","1","Arm5 Dmsz","False","True","generated","","","","24","1.32","4.75","","",""
"nova_fire_arm6_msg","Firepower","UnitParts/ArmWeapons","datan\common\arm6_msg.gx","3006","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm6_msg_42fcf388.obj","332","330","4","Arm6 Msg","False","True","generated","","","","48","0.93","7","","",""
"nova_fire_arm7_br","Firepower","UnitParts/ArmWeapons","datan\common\arm7_br.gx","3007","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm7_br_167b4a0e.obj","354","352","4","Arm7 Br","False","True","generated","","","","48","0.93","7","","",""
"nova_fire_arm71_toptower","Firepower","UnitParts/ArmWeapons","datan\common\arm71_toptower.gx","3071","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm71_toptower_dff01294.obj","436","288","3","Arm71 Toptower","False","True","generated","","","","40","1.06","6.25","","",""
"nova_fire_arm72_larmtower","Firepower","UnitParts/ArmWeapons","datan\common\arm72_larmtower.gx","3072","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm72_larmtower_a3bd9541.obj","437","259","2","Arm72 Larmtower","False","True","generated","","","","32","1.19","5.5","","",""
"nova_fire_arm73_rarmtower","Firepower","UnitParts/ArmWeapons","datan\common\arm73_rarmtower.gx","3073","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm73_rarmtower_d1d37d59.obj","437","259","2","Arm73 Rarmtower","False","True","generated","","","","32","1.19","5.5","","",""
