"slot","category","partId","displayName","inferredOriginalCode","originalNameKr","originalDescriptionKr","source_relative_path","model_path","texture_output","vertices","triangles","xfi_path","xfi_header","xfi_header_kind","attachSlot","attachVariant","transformCount","transformTranslations","directionRangeCount","directionRanges","parseStatus"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acp1hp.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acp1hp_f1fdac64.obj","datan_common_acp1hp_f1fdac64.BMP","106","90","datan/common/acp1hp.xfi","-1","numeric_slot_code","","","0","","5","0:0:20|1:0:20|2:0:20|3:20:40|4:20:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acp2wtt.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acp2wtt_8aef4c3e.obj","datan_common_acp2wtt_8aef4c3e.TGA","103","84","datan/common/acp2wtt.xfi","-1","numeric_slot_code","","","0","","5","0:0:20|1:0:20|2:0:20|3:20:40|4:20:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acp3pwr.gx","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acp3pwr_0a41a0d8.obj","datan_common_acp3pwr_0a41a0d8.TGA","69","40","datan/common/acp3pwr.xfi","-1","numeric_slot_code","","","0","","5","0:0:20|1:0:20|2:0:20|3:20:40|4:20:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acpAP.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acpAP_b9420752.obj","","54","52","datan/common/acpAP.xfi","-1","numeric_slot_code","","","0","","0","","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acpDP.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acpDP_6c7e61ed.obj","","43","82","datan/common/acpDP.xfi","-1","numeric_slot_code","","","0","","0","","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acpdual.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acpdual_ba73ed17.obj","","64","64","datan/common/acpdual.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acpdualh.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acpdualh_6d6659b0.obj","","64","64","datan/common/acpdualh.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acpdualp.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acpdualp_6323dc7c.obj","datan_common_acpdualp_6323dc7c.TGA","64","64","datan/common/acpdualp.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acphp100.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acphp100_a0adf898.obj","","38","46","datan/common/acphp100.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acphp150.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acphp150_d10da730.obj","","38","46","datan/common/acphp150.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acphp180.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acphp180_20c7c0c2.obj","","38","46","datan/common/acphp180.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acphp210.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acphp210_a095caa5.obj","datan_common_acphp210_a095caa5.TGA","38","46","datan/common/acphp210.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acppw10.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acppw10_9f8ce065.obj","","64","64","datan/common/acppw10.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acppw15.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acppw15_5fdd080e.obj","","64","64","datan/common/acppw15.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acppw20.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acppw20_853ed3a9.obj","","64","64","datan/common/acppw20.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acppw5.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acppw5_5ea990d0.obj","datan_common_acppw5_5ea990d0.TGA","64","64","datan/common/acppw5.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acpRP.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acpRP_17e16dd8.obj","","43","82","datan/common/acpRP.xfi","-1","numeric_slot_code","","","0","","0","","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acpSP.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acpSP_7a8f72c0.obj","","54","52","datan/common/acpSP.xfi","-1","numeric_slot_code","","","0","","0","","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acptwr.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acptwr_c5b25857.obj","datan_common_acptwr_c5b25857.TGA","124","75","datan/common/acptwr.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acptwr2.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acptwr2_3468410b.obj","datan_common_acptwr2_3468410b.tga","124","75","datan/common/acptwr2.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\acptwr3.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_acptwr3_af81dda4.obj","datan_common_acptwr3_af81dda4.tga","124","75","datan/common/acptwr3.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\AcpUnique01.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_AcpUnique01_febf7f79.obj","datan_common_AcpUnique01_febf7f79.TGA","84","76","datan/common/AcpUnique01.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\AcpUnique02.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_AcpUnique02_ac990d48.obj","datan_common_AcpUnique02_ac990d48.TGA","51","82","datan/common/AcpUnique02.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\AcpUnique03.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_AcpUnique03_827bcc99.obj","datan_common_AcpUnique03_827bcc99.TGA","105","54","datan/common/AcpUnique03.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\AcpUnique04.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_AcpUnique04_3c81187f.obj","datan_common_AcpUnique04_3c81187f.TGA","68","128","datan/common/AcpUnique04.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\AcpUnique05.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_AcpUnique05_85347eac.obj","datan_common_AcpUnique05_85347eac.TGA","77","68","datan/common/AcpUnique05.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\AcpUnique06.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_AcpUnique06_c17edad4.obj","datan_common_AcpUnique06_c17edad4.TGA","96","68","datan/common/AcpUnique06.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\AcpUnique07.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_AcpUnique07_5f1c7f13.obj","datan_common_AcpUnique07_5f1c7f13.TGA","97","68","datan/common/AcpUnique07.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\AcpUnique08.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_AcpUnique08_e405bd31.obj","datan_common_AcpUnique08_e405bd31.TGA","136","96","datan/common/AcpUnique08.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
"Accessory","UnitParts/Accessories","","","","","","datan\common\AcpUnique09.GX","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Accessories/datan_common_AcpUnique09_8ec6dd4f.obj","datan_common_AcpUnique09_8ec6dd4f.TGA","92","98","datan/common/AcpUnique09.xfi","-1","numeric_slot_code","","","0","","1","0:0:40","parsed"
