"RelativePath","Extension","Length","LastWriteTimeUtc"
"audiere.dll",".dll","512000","2012-08-28T15:00:00.0000000Z"
"BugTrapU.dll",".dll","329728","2016-11-15T04:57:50.0000000Z"
"KRV8.dll",".dll","5715968","2016-09-28T15:52:32.0000000Z"
"Nova1492.exe",".exe","3637760","2026-04-27T12:58:00.5095257Z"
"Nova1492.ico",".ico","2998","2016-11-02T03:11:20.0000000Z"
"Nova1492_Launcher.cfg",".cfg","56","2026-04-27T12:58:01.4436301Z"
"Nova1492_Launcher.exe",".exe","4033648","2016-12-26T06:25:16.0000000Z"
"Nova1492_LauncherSkin.dll",".dll","241152","2026-04-27T12:57:33.1233513Z"
"Nova1492_LogIn.exe",".exe","2673496","2026-04-27T12:58:01.0296969Z"
"patchw32.dll",".dll","252832","2013-05-07T16:51:58.0000000Z"
"uninst.exe",".exe","203515","2026-04-27T12:58:01.3103739Z"
"vc_redist_x86_2015.exe",".exe","13767776","2016-11-22T07:58:24.0000000Z"
"datan\config.json",".json","1064","2026-04-27T12:58:48.2359956Z"
"datan\netconfig.json",".json","200","2016-09-06T07:25:06.0000000Z"
"datan\common\01.png",".png","101377","2016-09-06T07:25:04.0000000Z"
"datan\common\01_AN_1.bmp",".bmp","196664","2016-09-06T07:25:04.0000000Z"
"datan\common\01_AN_2.bmp",".bmp","196664","2016-09-06T07:25:04.0000000Z"
"datan\common\01_SW_1.bmp",".bmp","196664","2016-09-06T07:25:04.0000000Z"
"datan\common\01_SW_2.bmp",".bmp","196664","2016-09-06T07:25:04.0000000Z"
"datan\common\04_DC.BMP",".bmp","196664","2016-09-06T07:25:04.0000000Z"
"datan\common\05_HS_01.bmp",".bmp","196664","2016-09-06T07:25:04.0000000Z"
"datan\common\05_HS_02.bmp",".bmp","196664","2016-09-06T07:25:04.0000000Z"
"datan\common\06dam.bmp",".bmp","196664","2012-12-17T15:00:00.0000000Z"
"datan\common\06dam.xfi",".xfi","20","2012-12-17T15:00:00.0000000Z"
"datan\common\06dama.bmp",".bmp","66616","2012-12-17T15:00:00.0000000Z"
"datan\common\06_MG.bmp",".bmp","196664","2016-09-06T07:25:04.0000000Z"
"datan\common\070309r_ap_01.tga",".tga","12509","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_02.tga",".tga","4707","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_03.tga",".tga","5375","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_04.tga",".tga","13298","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_04_01.tga",".tga","11761","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_05.tga",".tga","6112","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_06.tga",".tga","6394","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_07.tga",".tga","2042","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_08.tga",".tga","5722","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_09.tga",".tga","13639","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_10.tga",".tga","2913","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_11.tga",".tga","4667","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_12.tga",".tga","6733","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_13.tga",".tga","3243","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_14.tga",".tga","8357","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_15.tga",".tga","12710","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ap_16.tga",".tga","12410","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_bp_01.tga",".tga","10001","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_bp_02.tga",".tga","12290","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_bp_03.tga",".tga","2803","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ef_01.tga",".tga","2087","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ef_02.tga",".tga","1065","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_ef_03.tga",".tga","3166","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_missile.GX",".gx","5015","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_missile.xfi",".xfi","82","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_mp_01.tga",".tga","20761","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_mp_02.tga",".tga","2977","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_mp_03.tga",".tga","3914","2012-12-17T15:00:00.0000000Z"
"datan\common\070309r_mp_04.tga",".tga","5891","2012-12-17T15:00:00.0000000Z"
