"relative_path","extension","length","sha256","source_path"
"audiere.dll",".dll","512000","90E59C4F60941A2838D46E20FB78BA0CF71E9CFD0782E291CA876645E3794A66","C:\Program Files (x86)\Nova1492\audiere.dll"
"BugTrapU.dll",".dll","329728","0E4BB28024429884A7F326DC0EE0859B5CFBBBA5AB68B54265D6135BF2DE28CC","C:\Program Files (x86)\Nova1492\BugTrapU.dll"
"KRV8.dll",".dll","5715968","FD45FC3166F582AAE09C334513064115D243D6B459899D91092D37F8FDECA428","C:\Program Files (x86)\Nova1492\KRV8.dll"
"Nova1492.exe",".exe","3546224","E4203B2F76FDC2CFDEE125EE991B5250912167FBA0AB35558CF25C59320482B1","C:\Program Files (x86)\Nova1492\Nova1492.exe"
"Nova1492.ico",".ico","2998","F59097BD136ED4876068C71B39C7F3EA21BC55FDF2DB26E794FDAC788AAD7442","C:\Program Files (x86)\Nova1492\Nova1492.ico"
"Nova1492_Launcher.cfg",".cfg","56","417AA9A5FC508C297E15BB93EFCFCBC877EDED755B9DD1ECE855D4066E20F85E","C:\Program Files (x86)\Nova1492\Nova1492_Launcher.cfg"
"Nova1492_Launcher.exe",".exe","4033648","A5BAD026646DAC29F226C988289398F7FEE53C185CA39334E8DA02560A4FACF6","C:\Program Files (x86)\Nova1492\Nova1492_Launcher.exe"
"Nova1492_LauncherSkin.dll",".dll","357376","21789DFC5BDB1777ADA06C3521A7D098D9EADF07153ED8DBA7EF20325377D521","C:\Program Files (x86)\Nova1492\Nova1492_LauncherSkin.dll"
"Nova1492_LogIn.exe",".exe","2673776","4C259510855307408F3A377EE39D6AA47BDA590926A505286283812C6BF8A0AA","C:\Program Files (x86)\Nova1492\Nova1492_LogIn.exe"
"patchw32.dll",".dll","252832","A29E3A9DC6EFC7CD5DC496943824F91472E7E29126A713C7DAFEB92D8A1BCAFF","C:\Program Files (x86)\Nova1492\patchw32.dll"
"uninst.exe",".exe","203515","DF784AE614497CB8B2BDB027F5F7D506DFC10B89FBF387860FAFAF872CCEEC3F","C:\Program Files (x86)\Nova1492\uninst.exe"
"vc_redist_x86_2015.exe",".exe","13767776","FDD1E1F0DCAE2D0AA0720895EFF33B927D13076E64464BB7C7E5843B7667CD14","C:\Program Files (x86)\Nova1492\vc_redist_x86_2015.exe"
"datan\config.json",".json","1065","40B4953139BE9BC0A386C8E0A91B191FE2D48151FEBBC544E62D7C69FD08D992","C:\Program Files (x86)\Nova1492\datan\config.json"
"datan\netconfig.json",".json","200","3E5BE663375A4D561B6590997C83D156209FC3360547FDAD4AD44E222BEC12C4","C:\Program Files (x86)\Nova1492\datan\netconfig.json"
"datan\common\01.png",".png","101377","6FEBDDE76481495E759015BA7BE8685175CF3E8E07FFA0B596952B0FA67737D6","C:\Program Files (x86)\Nova1492\datan\common\01.png"
"datan\common\01_AN_1.bmp",".bmp","196664","CED7B48B0C950E99091E2C6BB419F00A8875D6C8BEE381541896D1ACE7DD22E4","C:\Program Files (x86)\Nova1492\datan\common\01_AN_1.bmp"
"datan\common\01_AN_2.bmp",".bmp","196664","1BF4A2501F70FC6EA4D58E0BBD59B08CFF2EF16B76309809ED4F5C3CB55A4EBD","C:\Program Files (x86)\Nova1492\datan\common\01_AN_2.bmp"
"datan\common\01_SW_1.bmp",".bmp","196664","F71BE5423FC11693EDC8C03C94E5C63127E8652CDEB72DF336BD3583857C6186","C:\Program Files (x86)\Nova1492\datan\common\01_SW_1.bmp"
